On the Waterfront,1954,"Crime, Drama, Thriller",8.1
Le salaire de la peur,1953,"Adventure, Drama, Thriller",8.1
Ace in the Hole,1951,"Drama, Film-Noir",8.1
White Heat,1949,"Action, Crime, Drama",8.1
The Third Man,1949,"Film-Noir, Mystery, Thriller",8.1
The Red Shoes,1948,"Drama, Music, Romance",8.1
The Shop Around the Corner,1940,"Comedy, Drama, Romance",8.1
Rebecca,1940,"Drama, Mystery, Romance",8.1
Mr. Smith Goes to Washington,1939,"Comedy, Drama",8.1
Gone with the Wind,1939,"Drama, History, Romance",8.1
La Grande Illusion,1937,"Drama, War",8.1
It Happened One Night,1934,"Comedy, Romance",8.1
La passion de Jeanne d'Arc,1928,"Biography, Drama, History",8.1
The Circus,1928,"Comedy, Romance",8.1
Sunrise: A Song of Two Humans,1927,"Drama, Romance",8.1
The General,1926,"Action, Adventure, Comedy",8.1
Das Cabinet des Dr. Caligari,1920,"Fantasy, Horror, Mystery",8.1
Badhaai ho,2018,"Comedy, Drama",8
Togo,2019,"Adventure, Biography, Drama",8
Airlift,2016,"Drama, History",8
Bajrangi Bhaijaan,2015,"Action, Adventure, Comedy",8
Baby,2015,"Action, Crime, Thriller",8
La La Land,2016,"Comedy, Drama, Music",8
Lion,2016,"Biography, Drama",8
The Martian,2015,"Adventure, Drama, Sci-Fi",8
Zootopia,2016,"Animation, Adventure, Comedy",8
BÃ£hubali: The Beginning,2015,"Action, Drama",8
Kaguyahime no monogatari,2013,"Animation, Adventure, Drama",8
Wonder,2017,"Drama, Family",8
Gully Boy,2019,"Drama, Music, Romance",8
Special Chabbis,2013,"Crime, Drama, Thriller",8
Short Term 12,2013,Drama,8
Serbuan maut 2: Berandal,2014,"Action, Crime, Thriller",8
The Imitation Game,2014,"Biography, Drama, Thriller",8
Guardians of the Galaxy,2014,"Action, Adventure, Comedy",8
Blade Runner 2049,2017,"Action, Drama, Mystery",8
Her,2013,"Drama, Romance, Sci-Fi",8
Bohemian Rhapsody,2018,"Biography, Drama, Music",8
The Revenant,2015,"Action, Adventure, Drama",8
The Perks of Being a Wallflower,2012,"Drama, Romance",8
Tropa de Elite 2: O Inimigo Agora Ã© Outro,2010,"Action, Crime, Drama",8
The King's Speech,2010,"Biography, Drama, History",8
The Help,2011,Drama,8
Deadpool,2016,"Action, Adventure, Comedy",8
Darbareye Elly,2009,"Drama, Mystery",8
Dev.D,2009,"Drama, Romance",8
Yip Man,2008,"Action, Biography, Drama",8
My Name Is Khan,2010,Drama,8
Nefes: Vatan Sagolsun,2009,"Action, Drama, Thriller",8
Slumdog Millionaire,2008,"Drama, Romance",8
Black Swan,2010,"Drama, Thriller",8
Tropa de Elite,2007,"Action, Crime, Drama",8
The Avengers,2012,"Action, Adventure, Sci-Fi",8
Persepolis,2007,"Animation, Biography, Drama",8
Dallas Buyers Club,2013,"Biography, Drama",8
The Pursuit of Happyness,2006,"Biography, Drama",8
Blood Diamond,2006,"Adventure, Drama, Thriller",8
The Bourne Ultimatum,2007,"Action, Mystery, Thriller",8
Bin-jip,2004,"Crime, Drama, Romance",8
Sin City,2005,"Crime, Thriller",8
Le scaphandre et le papillon,2007,"Biography, Drama",8
G.O.R.A.,2004,"Adventure, Comedy, Sci-Fi",8
Ratatouille,2007,"Animation, Adventure, Comedy",8
Casino Royale,2006,"Action, Adventure, Thriller",8
Kill Bill: Vol. 2,2004,"Action, Crime, Thriller",8
Vozvrashchenie,2003,Drama,8
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,"Drama, Romance",8
Mar adentro,2014,"Biography, Drama",8
Cinderella Man,2005,"Biography, Drama, History",8
Kal Ho Naa Ho,2003,"Comedy, Drama, Musical",8
Mou gaan dou,2002,"Action, Crime, Drama",8
Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Action, Adventure, Fantasy",8
Big Fish,2003,"Adventure, Drama, Fantasy",8
The Incredibles,2004,"Animation, Action, Adventure",8
Yeopgijeogin geunyeo,2001,"Comedy, Drama, Romance",8
Dogville,2003,"Crime, Drama",8
Vizontele,2001,"Comedy, Drama",8
Donnie Darko,2001,"Drama, Mystery, Sci-Fi",8
Magnolia,1999,Drama,8
Dancer in the Dark,2000,"Crime, Drama, Musical",8
The Straight Story,1999,"Biography, Drama",8
PÃ¢fekuto burÃ»,1997,"Animation, Crime, Mystery",8
Festen,1998,Drama,8
Central do Brasil,1998,Drama,8
The Iron Giant,1999,"Animation, Action, Adventure",8
Knockin' on Heaven's Door,1997,"Action, Crime, Comedy",8
Sling Blade,1996,Drama,8
Secrets & Lies,1996,"Comedy, Drama",8
Twelve Monkeys,1995,"Mystery, Sci-Fi, Thriller",8
KÃ´kaku KidÃ´tai,1995,"Animation, Action, Crime",8
The Nightmare Before Christmas,1993,"Animation, Family, Fantasy",8
Groundhog Day,1993,"Comedy, Fantasy, Romance",8
Bound by Honor,1993,"Crime, Drama",8
Scent of a Woman,1992,Drama,8
Aladdin,1992,"Animation, Adventure, Comedy",8
JFK,1991,"Drama, History, Thriller",8
Beauty and the Beast,1991,"Animation, Family, Fantasy",8
Dances with Wolves,1990,"Adventure, Drama, Western",8
Do the Right Thing,1989,"Comedy, Drama",8
Rain Man,1988,Drama,8
Akira,1988,"Animation, Action, Sci-Fi",8
The Princess Bride,1987,"Adventure, Family, Fantasy",8
Der Himmel Ã¼ber Berlin,1987,"Drama, Fantasy, Romance",8
Au revoir les enfants,1987,"Drama, War",8
TenkÃ» no shiro Rapyuta,1986,"Animation, Adventure, Drama",8
The Terminator,1984,"Action, Sci-Fi",8
Gandhi,1982,"Biography, Drama, History",8
Kagemusha,1980,"Drama, History, War",8
Being There,1979,"Comedy, Drama",8
Annie Hall,1977,"Comedy, Romance",8
Jaws,1975,"Adventure, Thriller",8
Dog Day Afternoon,1975,"Biography, Crime, Drama",8
Young Frankenstein,1974,Comedy,8
Papillon,1973,"Biography, Crime, Drama",8
The Exorcist,1973,Horror,8
Sleuth,1972,"Mystery, Thriller",8
The Last Picture Show,1971,"Drama, Romance",8
Fiddler on the Roof,1971,"Drama, Family, Musical",8
Il conformista,1970,Drama,8
Butch Cassidy and the Sundance Kid,1969,"Biography, Crime, Drama",8
Rosemary's Baby,1968,"Drama, Horror",8
Planet of the Apes,1968,"Adventure, Sci-Fi",8
The Graduate,1967,"Comedy, Drama, Romance",8
Who's Afraid of Virginia Woolf?,1966,Drama,8
The Sound of Music,1965,"Biography, Drama, Family",8
Doctor Zhivago,1965,"Drama, Romance, War",8
Per un pugno di dollari,1964,"Action, Drama, Western",8
8Â½,1963,Drama,8
Vivre sa vie: Film en douze tableaux,1962,Drama,8
The Hustler,1961,"Drama, Sport",8
La dolce vita,1960,"Comedy, Drama",8
Rio Bravo,1959,"Action, Drama, Western",8
Anatomy of a Murder,1959,"Crime, Drama, Mystery",8
Touch of Evil,1958,"Crime, Drama, Film-Noir",8
Cat on a Hot Tin Roof,1958,Drama,8
Sweet Smell of Success,1957,"Drama, Film-Noir",8
The Killing,1956,"Crime, Drama, Film-Noir",8
The Night of the Hunter,1955,"Crime, Drama, Film-Noir",8
La Strada,1954,Drama,8
Les diaboliques,1955,"Crime, Drama, Horror",8
Stalag 17,1953,"Comedy, Drama, War",8
Roman Holiday,1953,"Comedy, Romance",8
A Streetcar Named Desire,1951,Drama,8
In a Lonely Place,1950,"Drama, Film-Noir, Mystery",8
Kind Hearts and Coronets,1949,"Comedy, Crime",8
Rope,1948,"Crime, Drama, Mystery",8
Out of the Past,1947,"Crime, Drama, Film-Noir",8
Brief Encounter,1945,"Drama, Romance",8
Laura,1944,"Drama, Film-Noir, Mystery",8
The Best Years of Our Lives,1946,"Drama, Romance, War",8
Arsenic and Old Lace,1942,"Comedy, Crime, Thriller",8
The Maltese Falcon,1941,"Film-Noir, Mystery",8
The Grapes of Wrath,1940,"Drama, History",8
The Wizard of Oz,1939,"Adventure, Family, Fantasy",8
La rÃ¨gle du jeu,1939,"Comedy, Drama",8
The Thin Man,1934,"Comedy, Crime, Mystery",8
All Quiet on the Western Front,1930,"Drama, War",8
Bronenosets Potemkin,1925,"Drama, History, Thriller",8
Knives Out,2019,"Comedy, Crime, Drama",7.9
Dil Bechara,2020,"Comedy, Drama, Romance",7.9
Manbiki kazoku,2018,"Crime, Drama",7.9
Marriage Story,2019,"Comedy, Drama, Romance",7.9
Call Me by Your Name,2017,"Drama, Romance",7.9
"I, Daniel Blake",2016,Drama,7.9
Isle of Dogs,2018,"Animation, Adventure, Comedy",7.9
Hunt for the Wilderpeople,2016,"Adventure, Comedy, Drama",7.9
Captain Fantastic,2016,"Comedy, Drama",7.9
Sing Street,2016,"Comedy, Drama, Music",7.9
Thor: Ragnarok,2017,"Action, Adventure, Comedy",7.9
Nightcrawler,2014,"Crime, Drama, Thriller",7.9
Jojo Rabbit,2019,"Comedy, Drama, War",7.9
